loan_id,reporting_date,date_of_birth,age_years,age_band,duration,total_income,avg_monthly_income,avg_monthly_income_band,payment_due_date,days_past_due,risk_category,date,customer_age,total_paid,total_due_today,balance,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d,snapshot_date_from_credit_file,source_file,unnamed_28,credit_snapshot_date,createdat_utc,received,persons_received_from_total,banks_received,paybills_received_others,income_record_count
recnBZuKLsWCIm3cW,2025-01-01,,,,,,,,2024-12-28,4,Medium,1/1/2025,102,20639,21649.0,38380.0,38380.0,0.0,-1010.0,1010.0,Arrears,0,0.0,0,0,Inactive 01-07,Inactive,1/22/2025,9/21/2024,Y LOAN,,,0,6499.0,1010.0,12/28/2024,1/4/2025,0.0,0.0,1/7/2025,7509,20639,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recwUTOdXSW5kSAed,2025-01-01,1990-05-16 00:00:00+00:00,34.6,26-35,,,,,2025-01-01,0,Medium,1/1/2025,211,48101,49419.0,29038.0,0.0,0.0,-1318.0,1318.0,Arrears,0,0.0,0,0,Existing Active,Active,,6/4/2024,Y LOAN,,,0,8499.0,1320.0,12/31/2024,1/7/2025,0.0,0.0,10/10/2025,9819,48101,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2025-11-14 16:28:04.856000+00:00,,,,,
recPCzNo2d9qK1VB3,2025-01-01,,,,6.0,401199.74,66866.62333333334,"50,000-99,999",,0,Low,1/1/2025,22,52999,52999.0,0.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Cash,Paid Off,,12/10/2024,Y CASH,,,0,13699.0,1580.0,12/17/2024,1/7/2025,0.0,0.0,12/10/2024,52999,52999,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,37967.74,30100.0,309770.0,23362.0,1.0
rec98Vut24ajzNeWL,2025-01-01,,,,,,,,2024-09-13,110,Critical,1/1/2025,145,21899,48249.0,80600.0,80600.0,0.0,-26350.0,26350.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,8/9/2024,Y LOAN,,,0,11499.0,1750.0,9/13/2024,1/3/2025,0.0,0.0,9/17/2024,13249,21899,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recEmhLuKhmOsEqGl,2025-01-01,,,,,,,,,0,Low,1/1/2025,271,35719,35419.0,9840.0,0.0,300.0,300.0,0.0,advance,0,0.0,0,0,Existing Active,Active,,4/5/2024,Y LOAN,,,0,4999.0,780.0,1/3/2025,1/3/2025,0.0,0.0,4/4/2025,5779,35719,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recfGvYoqtSByxuGk,2025-01-01,,,,,,,,2025-01-01,0,High,1/1/2025,133,61919,67099.0,86360.0,0.0,0.0,-5080.0,5080.0,Arrears,0,2540.0,0,0,Existing Active,Active,,8/21/2024,Y LOAN,,,0,16299.0,2540.0,12/25/2024,1/8/2025,0.0,0.0,8/17/2025,18839,62019,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rec6dwN71Phff6ZIW,2025-01-01,1989-12-30 21:00:00+00:00,35.0,26-35,6.0,929491.3400000001,154915.22333333336,"150,000+",,0,Low,1/1/2025,32,7000,6999.0,29139.0,0.0,1.0,1.0,0.0,advance,0,0.0,0,0,Existing Active,Active,,11/30/2024,Y LOAN,,,0,3899.0,620.0,1/4/2025,1/4/2025,0.0,0.0,11/16/2025,4519,7000,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2024-11-30 13:19:29.539000+00:00,469401.34,447583.0,12500.0,7.0,1.0
rec9X1H0c0XImqLvf,2025-01-01,,,,,,,,,0,Low,1/1/2025,221,41499,40499.0,19000.0,0.0,1000.0,1000.0,0.0,advance,0,0.0,0,0,Existing Active,Active,,5/25/2024,Y LOAN,,,0,8499.0,1000.0,1/11/2025,1/4/2025,0.0,0.0,6/28/2025,9499,41499,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recEbf1KtnnFEVF0S,2025-01-01,,,,,,,,,0,Low,1/1/2025,277,58899,58899.0,15120.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,,3/30/2024,Y LOAN,,,0,8499.0,1260.0,1/4/2025,1/4/2025,0.0,0.0,3/22/2025,9759,58899,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recidBHevfjtcxlsJ,2025-01-01,,,,,,,,,0,Low,1/1/2025,117,20179,20069.0,28240.0,0.0,110.0,110.0,0.0,advance,0,0.0,0,0,Existing Active,Active,,9/6/2024,Y LOAN,,,0,6299.0,810.0,1/3/2025,1/3/2025,0.0,0.0,8/23/2025,7109,20179,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recwSx63MG5IxhDeY,2025-01-01,,,,,,,,2024-09-30,93,Critical,1/1/2025,240,16909,24649.0,17770.0,17770.0,0.0,-7740.0,7740.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,5/6/2024,Y LOAN,,,0,3999.0,590.0,9/30/2024,1/6/2025,0.0,0.0,10/23/2024,4589,16909,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recZVxmo8rPb9fMZn,2025-01-01,,,,6.0,1573402.5,262233.75,"150,000+",,0,Low,1/1/2025,44,24549,20579.0,44410.0,0.0,3970.0,3970.0,0.0,advance,0,0.0,0,0,Existing Active,Active,,11/18/2024,Y LOAN,,,0,7599.0,1180.0,1/27/2025,1/6/2025,0.0,0.0,5/11/2025,13499,24549,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,692363.5,584693.0,231920.0,64426.0,1.0
recmXBc3p1rHiiP59,2025-01-01,,,,,,,,2025-01-01,0,High,1/1/2025,147,29579,30759.0,33580.0,0.0,0.0,-1180.0,1180.0,Arrears,0,1080.0,0,0,Existing Active,Active,,8/7/2024,Y LOAN,,,0,6999.0,1080.0,12/25/2024,1/8/2025,0.0,0.0,8/5/2025,8079,29579,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recfRsGqAPBLBMJZq,2025-01-01,,,,,,,,2024-09-14,109,Critical,1/1/2025,116,5789,18429.0,40290.0,40290.0,0.0,-12640.0,12640.0,Arrears,0,0.0,0,0,First Payment Default,FPD,,9/7/2024,Y LOAN,,,0,4999.0,790.0,9/14/2024,1/4/2025,0.0,0.0,9/7/2024,5789,5789,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recmyfXjoNBfOxcKh,2025-01-01,,,,,,,,2024-06-11,204,Critical,1/1/2025,204,47499,47999.0,500.0,500.0,0.0,-500.0,500.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,6/11/2024,Y CASH,,,0,8499.0,1320.0,6/11/2024,1/7/2025,0.0,0.0,6/11/2024,47999,47499,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recqyyR8GOD7HBX1y,2025-01-01,,,,,,,,2024-08-13,141,Critical,1/1/2025,246,15199,29699.0,25700.0,25700.0,0.0,-14500.0,14500.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,4/30/2024,Y LOAN,,,0,4499.0,700.0,8/13/2024,1/7/2025,0.0,0.0,8/15/2024,5199,15199,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recyURi2hRMxyiJBV,2025-01-01,,,,,,,,,0,Low,1/1/2025,14,0,14499.0,0.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Cash,Paid Off,,12/18/2024,Y CASH,,,0,2899.0,460.0,12/25/2024,1/8/2025,0.0,0.0,12/18/2024,14499,14499,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recWFqqmaVRn8kqTF,2025-01-01,1991-04-12 00:00:00+00:00,33.7,26-35,,,,,2024-09-24,99,Critical,1/1/2025,225,13669,21979.0,18950.0,18950.0,0.0,-8310.0,8310.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,5/21/2024,Y LOAN,,,0,3499.0,560.0,9/24/2024,1/7/2025,0.0,0.0,6/10/2025,4059,13669,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2025-12-19 10:41:06.990000+00:00,,,,,
recT573pPobQcU6NL,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,176,44279,44379.0,35980.0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Existing Active,Active,,7/9/2024,Y LOAN,,,0,8499.0,1380.0,12/31/2024,1/7/2025,0.0,0.0,6/30/2025,9879,44279,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recvWSTCYAxIA2lGK,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,204,19809,20299.0,12810.0,0.0,0.0,-490.0,490.0,Arrears,70,0.0,0,0,Existing Active,Active,,6/11/2024,Y LOAN,70.0,0.0,0,3499.0,560.0,12/31/2024,1/7/2025,0.0,0.0,8/7/2025,4059,19809,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recKee1A4SxuRB3Fp,2025-01-01,,,,,,,,2024-12-29,3,Medium,1/1/2025,87,25799,27199.0,56000.0,56000.0,0.0,-1400.0,1400.0,Arrears,0,0.0,0,0,Inactive 01-07,Inactive,1/22/2025,10/6/2024,Y LOAN,,,0,8999.0,1400.0,12/29/2024,1/5/2025,0.0,0.0,1/4/2025,10399,25799,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rec0mZHCKG36rSAbG,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,140,69229,69329.0,78530.0,0.0,0.0,-100.0,100.0,Arrears,2530,2530.0,0,0,Existing Active,Active,,8/14/2024,Y LOAN,2530.0,0.0,0,16199.0,2530.0,1/1/2025,1/8/2025,0.0,0.0,8/5/2025,18729,69229,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recWLMcdDO1drsVjy,2025-01-01,,,,,,,,2025-01-01,0,High,1/1/2025,260,41259,56379.0,32760.0,0.0,0.0,-15120.0,15120.0,Arrears,0,0.0,0,0,Existing Active,Active,,4/16/2024,Y LOAN,,,0,8499.0,1260.0,10/15/2024,1/7/2025,0.0,0.0,6/17/2025,9759,41259,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
rec8nFztD0WSaGEa0,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,161,35239,35339.0,32580.0,0.0,0.0,-100.0,100.0,Arrears,1160,1160.0,0,0,Existing Active,Active,,7/24/2024,Y LOAN,1160.0,0.0,0,7499.0,1160.0,1/1/2025,1/8/2025,0.0,0.0,7/17/2025,8659,35239,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recPrui29b3dh6fy5,2025-01-01,,,,,,,,2025-01-01,0,Medium,1/1/2025,334,42359,42459.0,3180.0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Existing Active,Active,,2/2/2024,Y LOAN,,,0,5499.0,770.0,12/27/2024,1/3/2025,0.0,0.0,1/20/2025,6269,42359,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recdbfeI5b9p7fljE,2025-01-01,1991-03-31 21:00:00+00:00,33.8,26-35,,,,,2024-03-02,305,Critical,1/1/2025,396,34249,91959.0,57710.0,57710.0,0.0,-57710.0,57710.0,Arrears,0,0.0,0,0,Write Off,PAR 30,,12/2/2023,Y LOAN,,,0,14999.0,1480.0,3/2/2024,1/4/2025,0.0,0.0,4/10/2024,16479,34249,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,2024-11-26 12:56:22.525000+00:00,,,,,
recU913IYdGW9JDFo,2025-01-01,,,,,,,,,0,Low,1/1/2025,57,25729,25729.0,71810.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,,11/5/2024,Y LOAN,,,0,10699.0,1670.0,1/7/2025,1/7/2025,0.0,0.0,10/28/2025,12369,25729,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recV0InnuqkmVND7k,2025-01-01,,,,,,,,,0,Low,1/1/2025,565,63839,63159.0,0.0,0.0,680.0,680.0,0.0,advance,0,0.0,0,0,Paid Off Loan,Paid Off,,6/16/2023,Y LOAN,,,0,6999.0,1080.0,6/14/2024,1/3/2025,0.0,680.0,6/7/2024,8079,63839,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
recDJd0uVxyuqj8LC,2025-01-01,,,,,,,,,0,Low,1/1/2025,112,54999,54999.0,0.0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Cash,Paid Off,,9/11/2024,Y CASH,,,0,10999.0,1710.0,9/18/2024,1/8/2025,0.0,0.0,9/11/2024,54999,54999,2025-01-01,Credit Data - 01-01-2025.csv,,2025-01-01,,,,,,
